id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Forrest;Howell;Keely_Hilll96@hotmail.com;window emphasize;2025-05-22T06:37:21;6762;14450
2;Dee;Ziemann;Montana_Lakin@yahoo.com;regarding grandpa for;2025-05-22T01:10:00;12796;12088
3;Dorian;Hintz;Carter_Halvorson@yahoo.com;till oh;2025-05-22T02:13:18;144;3846
4;Gudrun;Marquardt;Jannie.OKon@yahoo.com;alongside;2025-05-22T11:18:39;15633;23160
5;Juanita;Nolan;Ethan.Botsford@hotmail.com;brr sunbeam;2025-05-22T00:52:05;16250;23200
6;Jillian;Gerlach;Carrie_Jones@yahoo.com;jealously;2025-05-22T07:23:30;1777;28396
7;Jazmin;Swaniawski;Neil81@hotmail.com;why somber license;2025-05-22T11:18:43;21051;28988
8;Johnathon;Harber;Newton_Mitchell@yahoo.com;per closely;2025-05-21T18:31:27;32527;9004
9;Princess;Feil;Elroy.Mitchell90@hotmail.com;yuck unearth;2025-05-21T16:38:28;16980;622
10;Lavada;Schoen;Rita29@gmail.com;outside;2025-05-22T11:46:04;24002;24176
